region,town,ward,postcode
Rakhine,Ann,Ah Nauk Paing Ward,
Rakhine,Ann,Ah Shey Paing Ward,
Rakhine,Ann,Ah Soe Ya Ah Hmu Htan Ward,
Rakhine,Ann,Lay Yin Kwin Ward,
Rakhine,Ann,Myauk Bet Ward,
Rakhine,Ann,Myauk Paing Ward,
Rakhine,Ann,No (5) Ward,
Rakhine,Ann,No (1) Ward,
Rakhine,Ann,No (2) Ward,
Rakhine,Ann,No (3) Ward,
Rakhine,Buthidaung,Ah Nauk Ward,
Rakhine,Buthidaung,Mee Ya Htar Seik Ward,
Rakhine,Buthidaung,Myo Ma Ward,
Rakhine,Buthidaung,Myo Thit (South) Ward,
Rakhine,Buthidaung,Myo Thit Ward,
Rakhine,Buthidaung,Taung Ward,
Rakhine,Buthidaung,Tha Pyay Kone Ward,
Rakhine,Gwa,Kin Yone Ward,
Rakhine,Gwa,Myo Ma Ward,
Rakhine,Gwa,Ywar Ma Ward,
Rakhine,Gwa,No (1) Ward,
Rakhine,Gwa,No (2) Ward,
Rakhine,Gwa,No (3) Ward,
Rakhine,Kyaukpyu,Ah Lel Paing Ward,
Rakhine,Kyaukpyu,Ah Nauk Paing Ward,
Rakhine,Kyaukpyu,Ah Shey Paing Ward,
Rakhine,Kyaukpyu,Ah Soe Ya Ward,
Rakhine,Kyaukpyu,Ah Yar Shi Ward,
Rakhine,Kyaukpyu,Ka Nyin Taw Ward,
Rakhine,Kyaukpyu,Ku Lar Bar Taung Ward,
Rakhine,Kyaukpyu,Ku Lar Paik Seik Ward,
Rakhine,Kyaukpyu,Myit Nar Tan Ward,
Rakhine,Kyaukpyu,Nga La Pwayt Ward,
Rakhine,Kyaukpyu,Pyin Hpyu Maw Ward,
Rakhine,Kyaukpyu,Rakhine Paik Seik Ward,
Rakhine,Kyaukpyu,Taung Yin Ward,
Rakhine,Kyaukpyu,Than Pan Chaung Ward,
Rakhine,Kyaukpyu,Toe Cheit Ward,
Rakhine,Kyaukpyu,Zay Di (South) Ward,
Rakhine,Kyaukpyu,Zay Di Ward,
Rakhine,Kyaukpyu,Htein Dway Ward,
Rakhine,Kyaukpyu,Kan Pyin Ward,
Rakhine,Kyaukpyu,Shwe Hin Thar Ward,
Rakhine,Kyaukpyu,Taung Ngu Su Ward,
Rakhine,Kyauktaw,Kyauk Taw Ward,
Rakhine,Kyauktaw,Myo Thit Ward,
Rakhine,Kyauktaw,Paik Thei Ward,
Rakhine,Kyauktaw,Pyi Taw Thar Ward,
Rakhine,Kyauktaw,Shan Ywar Ward,
Rakhine,Maungdaw,Ah San Kyaw Ward,
Rakhine,Maungdaw,Ah Shey Paing Ward,
Rakhine,Maungdaw,Min Kha Maung Ward,
Rakhine,Maungdaw,Taing Bin Gar Ward,
Rakhine,Maungdaw,Ye Bauk Kyar Ward,
Rakhine,Maungdaw,Ka Nyin Tan Ward,
Rakhine,Maungdaw,Lay Maing Ward,
Rakhine,Maungdaw,Let Thar Ward,
Rakhine,Maungdaw,Maung Ni Ward,
Rakhine,Maungdaw,Myo Ma (East) Ward,
Rakhine,Maungdaw,Myo Ma (North) Ward,
Rakhine,Maungdaw,Myo Ma (South) Ward,
Rakhine,Maungdaw,Myo Ma (West) Ward,
Rakhine,Maungdaw,Myo Thu Gyi Ward,
Rakhine,Maungdaw,Myo U Ward,
Rakhine,Maungdaw,Wai Thar Li Ward,
Rakhine,Maungdaw,Ywar Thit Kay Ward,
Rakhine,Maungdaw,Ah Lel Paing Ward,
Rakhine,Maungdaw,Ah Nauk Paing Ward,
Rakhine,Maungdaw,Gyin Taw Ward,
Rakhine,Maungdaw,Hpway Yar Ward,
Rakhine,Maungdaw,Myaw Chaung Ward,
Rakhine,Maungdaw,Shee Dar Ward,
Rakhine,Maungdaw,Ywar Thit Ward,
Rakhine,Maungdaw,No (1) Ward,
Rakhine,Maungdaw,No (2) Ward,
Rakhine,Maungdaw,No (3) Ward,
Rakhine,Maungdaw,No (4) Ward,
Rakhine,Maungdaw,No (5) Ward,
Rakhine,Minbya,Ah Lel Paing Ward,
Rakhine,Minbya,Min Bar Gyi Ward,
Rakhine,Minbya,Myo Thit Ward,
Rakhine,Minbya,Oke Kar Pyan Ward,
Rakhine,Minbya,Pyi Taw Hla Ward,
Rakhine,Minbya,Pyi Taw Thar Ward,
Rakhine,Minbya,U Soe Tint Ward,
Rakhine,Minbya,Zay Haung Paing Ward,
Rakhine,Mrauk-U,Ah Lel Zay Ward,
Rakhine,Mrauk-U,Aung Tat Ward,
Rakhine,Mrauk-U,Htan Ma Rit Ward,
Rakhine,Mrauk-U,Law Ka Mu Ward,
Rakhine,Mrauk-U,Let Kauk Zay Ward,
Rakhine,Mrauk-U,Nyaung Pin Zay Ward,
Rakhine,Mrauk-U,Taung Yat Ward,
Rakhine,Munaung,Ah Nauk Su Ward,
Rakhine,Munaung,Kan Nar Tan Ward,
Rakhine,Munaung,Myo Ma Ward,
Rakhine,Munaung,Myo Thit Ward,
Rakhine,Munaung,Yan Aung Myin Ward,
Rakhine,Myebon,Ah Lel Paing Ward,
Rakhine,Myebon,Myauk Paing Ward,
Rakhine,Myebon,Taung Paing Ward,
Rakhine,Myebon,Ywar Thar Yar Ward,
Rakhine,Myebon,Ywar Thit Ward,
Rakhine,Myebon,Kan Thar Htwet Wa Ward,
Rakhine,Myebon,Ku Lar Taung Ward,
Rakhine,Myebon,Myay Pon Ah Lel Paing Ward,
Rakhine,Myebon,Myay Pon Myauk Paing Ward,
Rakhine,Myebon,Myay Pon Taung Paing Ward,
Rakhine,Myebon,Ta Yoke Tan Ward,
Rakhine,Myebon,Thea Tan Ward,
Rakhine,Myebon,Ywar Thit Kay Ward,
Rakhine,Myebon,Zay Paing Ward,
Rakhine,Pauktaw,Ah Lel Paing Ward,
Rakhine,Pauktaw,Ah Nauk Paing Ward,
Rakhine,Pauktaw,Ah Shey Paing Ward,
Rakhine,Pauktaw,Ba Wan Chaung Hpyar Su Ward,
Rakhine,Pauktaw,Ba Wan Chaung Wa Su Ward,
Rakhine,Ponnagyun,Ah Lel Su Ward,
Rakhine,Ponnagyun,Myo Thit Ward,
Rakhine,Ponnagyun,San Pya Ward,
Rakhine,Ponnagyun,Ywar Haung Ward,
Rakhine,Ramree,No (1) Ward,
Rakhine,Ramree,No (2) Ward,
Rakhine,Ramree,No (3) Ward,
Rakhine,Ramree,No (4) Ward,
Rakhine,Ramree,No (5) Ward,
Rakhine,Ramree,No (6) Ward,
Rakhine,Rathedaung,Ah Shey Myauk Ward,
Rakhine,Rathedaung,Ah Shey Taung Ward,
Rakhine,Rathedaung,Chaung Wa Ward,
Rakhine,Rathedaung,Taung Yin Ward,
Rakhine,Sittwe,Ah Nauk San Pya Ward,
Rakhine,Sittwe,Ah Shey San Pya Ward,
Rakhine,Sittwe,Aung Min Ga Lar Ward,
Rakhine,Sittwe,Aung Mingalar Myauk Ward,
Rakhine,Sittwe,Bauk Thee Su Ward,
Rakhine,Sittwe,Baung Dut Ward,
Rakhine,Sittwe,Baw Lone Kwin Ward,
Rakhine,Sittwe,Da Nya Wa Di Ward,
Rakhine,Sittwe,Ka Thea Ywar Ward,
Rakhine,Sittwe,Kon Tan Ward,
Rakhine,Sittwe,Kyaung Gyi Lan Ward,
Rakhine,Sittwe,Kyaung Tet Lan Ward,
Rakhine,Sittwe,Kyay Pin Gyi Ward,
Rakhine,Sittwe,Lan Ma Taw (North) Ward,
Rakhine,Sittwe,Lan Ma Taw (South) Ward,
Rakhine,Sittwe,Lan Thit Ward,
Rakhine,Sittwe,Ma Gyi Myaing Ward,
Rakhine,Sittwe,Maw Leik Ward,
Rakhine,Sittwe,Mi Zan Ward,
Rakhine,Sittwe,Min Gan Ward,
Rakhine,Sittwe,Myo Thu Gyi Ward,
Rakhine,Sittwe,Oe Dan Ward,
Rakhine,Sittwe,Ohn Ta Pin Ward,
Rakhine,Sittwe,Pyi Taw Thar Ward,
Rakhine,Sittwe,Ru Pa (North) Ward,
Rakhine,Sittwe,Ru Pa (South) Ward,
Rakhine,Sittwe,Set Yon Su Ward,
Rakhine,Sittwe,Shwe Pyar Ward,
Rakhine,Sittwe,Sin Ku Lan Ward,
Rakhine,Sittwe,Sut Yoe Kya Ward,
Rakhine,Sittwe,Ta Yar Thee Su Ward,
Rakhine,Sittwe,Ye New Su Ward,
Rakhine,Sittwe,Ywar Gyi (North) Ward,
Rakhine,Sittwe,Ywar Gyi (South) Ward,
Rakhine,Thandwe,Gawt Ward,
Rakhine,Thandwe,Gyeik Taw Ward,
Rakhine,Thandwe,Lin Thar Ward,
Rakhine,Thandwe,Mya Pyin Ward,
Rakhine,Thandwe,Zee Hpyu Kone Ward,
Rakhine,Thandwe,No (1) Ward,
Rakhine,Thandwe,No (2) Ward,
Rakhine,Thandwe,No (3) Ward,
Rakhine,Thandwe,No (4) Ward,
